fdc_id,description,Energy (Atwater Specific Factors) (KCAL),Protein (G),Total lipid (fat) (G),"Carbohydrate, by difference (G)","Fiber, total dietary (G)","Sugars, total including NLEA (G)",Leucine (G),"Fatty acids, total monounsaturated (G)","PUFA 18:2 n-6 c,c (LA) (G)","PUFA 18:3 n-3 c,c,c (ALA) (G)",PUFA 20:5 n-3 (EPA) (G),PUFA 22:6 n-3 (DHA) (G),"Fatty acids, total trans","Sugars, added","Fatty acids, total saturated (G)","Vitamin A, RAE (UG)","Vitamin C, total ascorbic acid (MG)",Vitamin D (D2 + D3) (UG),Vitamin E (alpha-tocopherol) (MG),Vitamin B-6 (MG),"Folate, DFE (UG)",Biotin (UG),"Magnesium, Mg (MG)","Zinc, Zn (MG)","Selenium, Se (UG)","Iron, Fe (MG)","Potassium, K (MG)",Niacin (MG),"Calcium, Ca (MG)","Copper, Cu (MG)","Iodine, I (UG)","Manganese, Mn (MG)","Molybdenum, Mo (UG)","Phosphorus, P (MG)",Thiamin (MG),Riboflavin (MG),Pantothenic acid (MG),Vitamin B-12 (UG),Sodium (mg),Added Sugars (g)
167512,"Pillsbury Golden Layer Buttermilk Biscuits, Artificial Flavor, refrigerated dough",306.190476,5.88,13.24,41.18,1.2,5.88,0,0,0,0,0,0,4.412,0,2.941,0,0,0,0,0,0,0,0,0,0,2.12,0,0,0,0,0,0,0,0,0,0,0,0,1059,0
167513,"Pillsbury, Cinnamon Rolls with Icing, refrigerated dough",328.809524,4.34,11.27,53.42,1.4,21.34,0,0,0,0,0,0,4.29,0,3.25,0,0.1,0,0,0,0,0,0,0,0,1.93,0,0,28,0,0,0,0,0,0,0,0,0,780,0
167514,"Kraft Foods, Shake N Bake Original Recipe, Coating for Pork, dry",375.47619,6.1,3.7,79.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2182,0
167515,"George Weston Bakeries, Thomas English Muffins",231.428571,8,1.8,46,0,0,0,0.303,0,0,0,0,0.082,0,0.308,0,0,0,0,0,0,0,0,0,0,1.4,0,0,180,0,0,0,0,0,0,0,0,0,345,0
167516,"Waffles, buttermilk, frozen, ready-to-heat",272.380952,6.58,9.22,41.05,2.2,4.3,0.489,4.53,0,0,0.012,0.007,0,0,1.898,401,0,0,0.62,0.972,96,0,19,0.48,9.5,6.04,126,6.675,279,0.04,0,0.215,0,388,0.499,0.665,0.24,2.86,621,0
167517,"Waffle, buttermilk, frozen, ready-to-heat, toasted",309,7.42,9.49,48.39,2.6,4.41,0.544,5.292,0,0,0.013,0.008,0,0,2.275,438,0,0,0.68,1.11,107,0,22,0.48,10.3,6.59,138,7.942,299,0.037,0,0.223,0,444,0.563,0.648,0.217,1.62,710,0
167518,"Waffle, buttermilk, frozen, ready-to-heat, microwaved",287.857143,6.92,9.4,44.16,2.4,4.5,0,4.864,0,0,0,0,0,0,2.057,429,0,0,0.63,1.105,99,0,20,0.58,10.1,6.53,110,6.73,125,0.063,0,0.235,0,410,0.576,0.695,0.24,2.44,663,0
167519,"Waffle, plain, frozen, ready-to-heat, microwave",298,6.71,9.91,45.41,2.4,5.04,0,5.195,0,0,0,0,0,0,1.58,0,0,0,0.95,1.016,106,0,25,0.45,12.8,5.81,148,7.785,197,0.038,0,0.154,0,410,0.544,0.655,0.325,2.18,682,0
167520,"Pie Crust, Cookie-type, Graham Cracker, Ready Crust",501,5.1,24.83,64.3,1.9,18.13,0,16.928,0,0,0,0,0,0,4.999,0,0,0,1.85,0.076,97,0,23,1.25,2.6,2.6,113,3.22,29,0.223,0,1.287,0,117,0.184,0.213,0.178,0,471,0
167521,"Pie Crust, Cookie-type, Chocolate, Ready Crust",484,6.08,22.42,64.48,2.7,26.31,0.382,14.482,0,0,0,0,0,0,4.725,0,0,0,1.79,0.043,108,0,40,2.1,2.5,4.3,187,3.073,32,0.77,0,1.833,0,120,0.336,0.265,0.168,0,503,0
167522,"Pie, Dutch Apple, Commercially Prepared",289.285714,2.17,11.5,44.54,1.6,22.02,0.158,5.797,0,0,0,0,0,0,2.313,18,5.7,0,0.96,0.039,32,0,8,0.19,2.2,0.91,76,1.094,14,0.148,0,0.233,0,29,0.193,0.067,0.096,0,200,0
167523,"Pie crust, deep dish, frozen, unbaked, made with enriched flour",468,5.52,28.74,46.79,1.4,0,0.383,14.489,0,0.115,0,0,0,0,8.129,0,0,0,1.24,0.047,111,0,15,0.46,4.5,2.26,91,2.5,20,0.079,0,0.476,0,68,0.227,0.143,0.36,0,353,0
167524,"Waffles, chocolate chip, frozen, ready-to-heat",297,5.8,10.1,45.68,1.5,13.1,0.331,2.564,0,0,0,0.002,0.2,0,3.567,429,0,0.1,0,0.57,117,0,16,0.4,13.1,6.4,74,5.7,357,0.221,0,0.393,0,272,0.43,0.49,0.218,1.7,529,0
167525,"Tostada shells, corn",474,6.15,23.38,64.43,5.8,0,0,7.217,0,0.124,0,0,0.163,0,7.011,0,0,0,0,0.363,0,0,76,1.23,2.2,1.53,237,1.553,76,0.148,0,0.363,0,203,0.353,0.094,0.191,0,657,0
167526,"Bread, salvadoran sweet cheese (quesadilla salvadorena)",372.380952,7.12,17.12,47.84,0.7,24.9,0.65,6.794,3.639,0.489,0,0.014,2.027,0,4.612,141,0,0.3,0.96,0.04,48,0,11,0.8,13.3,0.98,350,1.2,73,0.03,0,0.24,0,200,0.02,0.08,0.7,0.35,510,0
167527,"Bread, pound cake type, pan de torta salvadoran",389.047619,7.06,17.45,51.29,1.7,18.1,0.54,4.411,8.074,1.158,0.002,0.007,0.16,0,3.042,0,0,0,1.42,0.05,0,0,19,0.62,13.5,2.2,210,4.7,46,0.03,0,0.26,0,300,0.07,0.18,0.55,0,390,0
167528,"Pastry, Pastelitos de Guava (guava pastries)",379,5.48,18.5,47.76,2.2,17,0,8.543,2.142,0.163,0,0.001,2.853,0,5.535,0,0,0,0.95,0.053,0,0,15,0.42,17.5,2.12,103,2.493,14,0.079,0,0.265,0,56,0.19,0.117,0.27,0,231,0
167529,"Crackers, snack, Goya Crackers",431.428571,14.25,13.35,64.35,3.8,2.35,0,4.697,1.435,0.038,0.002,0,0.063,0,6.323,0,0,0,0,0,0,0,39,1.17,0,5.66,124,0,16,0.155,0,0.625,0,145,0,0,0,0,665,0
167530,"Crackers, cream, Gamesa Sabrosas",484,7.01,20.37,64.55,2.4,9.37,0,10.625,1.542,0.045,0,0,3.969,0,5.362,0,0,0,1.59,0.065,253,0,25,0.66,9.5,7.38,129,5.08,26,0.111,0,0.778,0,98,0.298,0.24,0.462,0.46,1148,0
167531,"Crackers, cream, La Moderna Rikis Cream Crackers",462.142857,7.19,19.5,64.88,2.4,10.41,0,14.468,0.434,0.02,0,0,2.905,0,2.634,0,0,0,0,0,0,0,28,4.11,0,6.64,117,0,734,0.113,0,0.845,0,100,0,0,0,0.8,752,0
167532,"Bread, white wheat",238,10.66,2.15,43.91,9.2,5,0,0.393,0.875,0.083,0.003,0,0.031,0,0.63,0,0,0,0.38,0.08,162,0,26,0.95,16.1,4.89,127,4.455,684,0.149,0,0.634,0,103,0.51,0.255,0.455,0,478,0
167533,"Bagels, wheat",249.285714,10.2,1.53,48.89,4.1,6.12,0,0.29,0,0,0,0,0,0,0,0,0,0,0.32,0.147,108,0,51,1.1,28.7,2.76,165,3.37,20,0.175,0,1.43,0,142,0.403,0.209,0.375,0,439,0
167534,"Cream puff, eclair, custard or cream filled, iced",332.857143,4.41,18.52,37.43,0.9,22.05,0,6.07,0,0,0,0.009,0,0,7.055,23,0,0.3,0.95,0.041,100,0,10,0.45,15.5,0.95,68,1.908,35,0.06,0,0.224,0,71,0.263,0.241,0.471,0.17,265,0
167535,"Tortillas, ready-to-bake or -fry, flour, shelf stable",297,8.01,7.58,49.27,2.4,2.66,0.459,3.801,0,0,0,0,0.014,0,1.225,0,0,0,0.86,0.028,188,0,21,0.57,21.9,3.32,133,4.191,163,0.115,0,0.516,0,213,0.487,0.124,0.283,0,742,0
167536,"Snacks, beef jerky, chopped and formed",410,33.2,25.6,11,1.8,9,0,11.305,0,0,0,0,0,0,10.85,0,0,0.3,0.49,0.179,134,0,51,8.11,10.7,5.42,597,1.732,20,0.227,0,0.111,0,407,0.154,0.142,0.163,0.99,1785,0
167537,"Snacks, corn-based, extruded, chips, plain",539,6.17,33.36,57.27,4,0.27,0.803,9.134,16.036,0.264,0.006,0,0.088,0,4.331,3,0,0,7.23,0.167,8,0,72,1.29,7.6,1.2,144,0.842,138,0.101,0,0.333,0,194,0.047,0.078,0.19,0,514,0
167538,"Snacks, corn-based, extruded, chips, barbecue-flavor",520.952381,7,32.7,56.2,5.2,0,0.747,9.48,0,0,0,0,0,0,4.46,31,1.7,0,0,0.23,39,0,77,1.06,4.1,1.54,236,1.645,131,0.166,0,0.774,0,207,0.075,0.21,0.143,0,763,0
167539,"Snacks, corn-based, extruded, cones, plain",508.095238,5.8,26.9,62.9,1.1,0,0.715,1.7,0,0,0,0,0,0,22.75,16,0,0,0,0.04,3,0,11,0.21,3.8,2.54,81,1.41,3,0.04,0,0.087,0,44,0.32,0.24,0.225,0,1022,0
167540,"Snacks, fruit leather, pieces",358.095238,1,2.68,82.82,0,57.58,0,1.48,0,0,0,0,0,0,0.65,3,56,0,0.56,0.3,4,0,14,0.19,2.7,0.75,164,0.1,18,0.171,0,0.184,0,24,0.043,0.1,0.319,0,199,0
167541,"Snacks, fruit leather, rolls",371,0.1,3,85.8,0,49.16,0,1.48,0,0,0,0,0,0,0.672,6,120,0,0.56,0.3,2,0,20,0.19,0.4,1.01,294,0.1,32,0.171,0,0.184,0,31,0.084,0.02,0.029,0,317,0
167542,"Snacks, granola bars, hard, plain",469.52381,10.1,19.8,64.4,5.3,28.57,0.724,4.38,0,0,0,0,0,0,2.37,2,0.9,0,2.09,0.085,23,0,97,2.03,16.2,2.95,336,1.581,61,0.392,0,1.777,0,277,0.264,0.119,0.813,0,294,0
167543,"Snacks, granola bars, hard, almond",493.095238,7.7,25.5,62,4.8,0,0.585,7.74,0,0,0,0,0,0,12.51,2,0,0,0,0.047,12,0,81,1.58,15,2.5,273,0.61,32,0.127,0,1.365,0,228,0.28,0.07,0.466,0,256,0
